,vdis,beta_con,DNI,DIF,mcpi
94,1.255700625,6.075273974999999e+23,299.7328,123.28331,1.0764576022688366
95,1.3118353749847418,1.1279369317822874e+24,293.88504,125.03027,0.9477758267581167
96,1.310867607421875,1.1241325221328124e+24,294.12665,124.76754,0.9428757519454265
97,1.3117871759033206,1.1273300343432615e+24,296.75482,123.38134,1.0046177812908954
98,1.3118412677441542,1.1279254488805613e+24,295.6923,124.3236,0.9058756841914155
100,1.3121686962890626,1.1301108874335937e+24,291.19577,125.517525,0.8887159347281633
101,1.3119518481445314,1.1291144932167969e+24,298.29095,123.910484,0.9455184345250631
102,1.3113067333984376,1.1288910791289061e+24,295.26184,124.35736,0.9726987110896652
103,1.3118688333129886,1.1278765427097166e+24,291.46902,125.48486,0.8568919145450065
104,1.3118969573974613,1.1285196735922851e+24,293.60507,124.996445,0.9245491952700422
105,1.3118654026412968,1.1278393664831846e+24,296.28064,123.79877,0.962155074475767
106,1.304882734375,1.1404857810624998e+24,291.8988,124.75823,0.8401766704352442
107,1.311774810638428,1.1278727715777587e+24,294.813,123.93753,0.9792512454833658
108,1.311842066650391,1.1279248539677733e+24,290.54355,125.74615,0.7731930972296797
109,1.3113875,9.511089109999998e+23,294.7542,124.30432,0.9213464111101468
110,1.3118420916162108,1.1279248353767486e+24,290.54355,125.74615,0.7731930972296797
111,1.3104393408203125,1.1249055022617187e+24,296.2805,124.15454,0.9909354417225318
112,1.3220568359375,1.1316927244062498e+24,298.32654,124.02765,0.966339808164346
113,1.3256132812500003,1.1918873288749999e+24,294.4487,124.28751,0.8538337565257983
114,1.3118420666307251,1.1279248553681219e+24,290.54355,125.74615,0.7731930972296797
115,1.3118400291091208,1.1279292091633484e+24,294.27426,124.72968,0.9720774234067042
116,1.311869512023926,1.1282222637800291e+24,293.45642,125.151085,0.8651388915136158
117,1.3117404296875002,1.1308838675624999e+24,294.34967,124.436386,0.9172147659083205
